final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_hi_accuracy,final_eval_ru_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_ur_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_amh_accuracy,final_eval_ewe_accuracy,final_eval_fra_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lin_accuracy,final_eval_lug_accuracy,final_eval_orm_accuracy,final_eval_sna_accuracy,final_eval_sot_accuracy,final_eval_swa_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_mya_accuracy,final_eval_ind_accuracy,final_eval_same_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
69.97 \scriptsize $\pm$ 0.27,76.24 \scriptsize $\pm$ 0.37,75.15 \scriptsize $\pm$ 0.19,74.48 \scriptsize $\pm$ 0.25,77.79 \scriptsize $\pm$ 0.35,67.76 \scriptsize $\pm$ 0.57,74.38 \scriptsize $\pm$ 0.19,70.07 \scriptsize $\pm$ 0.50,71.48 \scriptsize $\pm$ 0.27,63.88 \scriptsize $\pm$ 0.37,73.58 \scriptsize $\pm$ 0.38,72.14 \scriptsize $\pm$ 0.71,67.12 \scriptsize $\pm$ 0.96,37.12 \scriptsize $\pm$ 0.28,77.96 \scriptsize $\pm$ 0.50,60.62 \scriptsize $\pm$ 1.07,38.08 \scriptsize $\pm$ 0.52,38.46 \scriptsize $\pm$ 0.21,34.67 \scriptsize $\pm$ 0.62,39.33 \scriptsize $\pm$ 1.06,53.67 \scriptsize $\pm$ 0.71,38.88 \scriptsize $\pm$ 0.28,39.08 \scriptsize $\pm$ 1.14,65.21 \scriptsize $\pm$ 0.74,38.46 \scriptsize $\pm$ 1.37,41.54 \scriptsize $\pm$ 1.00,47.08 \scriptsize $\pm$ 0.74,37.96 \scriptsize $\pm$ 0.72,47.71 \scriptsize $\pm$ 1.05,66.91 \scriptsize $\pm$ 0.63,68.03 \scriptsize $\pm$ 0.17,83.33 \scriptsize $\pm$ 0.33,59.01 \scriptsize $\pm$ 0.12,abla_most_family_joshi2,xnli,"[42, 66, 17, 23]","[59.06652554475498, 58.952884445586044, 58.87005504741188, 59.13221654880588]",0.017399604742567326,0.1689821179053919,0.010102473636395153
69.53 \scriptsize $\pm$ 0.95,75.92 \scriptsize $\pm$ 0.48,75.50 \scriptsize $\pm$ 0.59,74.12 \scriptsize $\pm$ 0.32,77.83 \scriptsize $\pm$ 0.33,67.91 \scriptsize $\pm$ 0.96,74.12 \scriptsize $\pm$ 0.73,69.30 \scriptsize $\pm$ 0.57,71.86 \scriptsize $\pm$ 0.48,64.32 \scriptsize $\pm$ 0.67,73.50 \scriptsize $\pm$ 0.49,71.98 \scriptsize $\pm$ 0.33,65.58 \scriptsize $\pm$ 0.62,36.75 \scriptsize $\pm$ 1.31,78.33 \scriptsize $\pm$ 0.41,59.58 \scriptsize $\pm$ 1.13,38.83 \scriptsize $\pm$ 1.16,40.29 \scriptsize $\pm$ 1.44,36.67 \scriptsize $\pm$ 0.49,39.75 \scriptsize $\pm$ 1.09,47.83 \scriptsize $\pm$ 1.53,39.88 \scriptsize $\pm$ 1.57,39.42 \scriptsize $\pm$ 0.84,64.17 \scriptsize $\pm$ 0.98,39.54 \scriptsize $\pm$ 1.03,41.42 \scriptsize $\pm$ 1.10,48.42 \scriptsize $\pm$ 1.27,38.12 \scriptsize $\pm$ 1.88,45.75 \scriptsize $\pm$ 1.14,66.34 \scriptsize $\pm$ 0.55,67.95 \scriptsize $\pm$ 0.33,83.57 \scriptsize $\pm$ 0.33,58.88 \scriptsize $\pm$ 0.21,abla_most_family_joshi3,xnli,"[42, 66, 17, 23]","[59.00530590962847, 58.5892104029207, 58.86909809737093, 59.0466902154137]",0.0441846465572013,0.14531164099021543,0.022084374706177495
69.35 \scriptsize $\pm$ 0.19,76.11 \scriptsize $\pm$ 0.14,75.17 \scriptsize $\pm$ 0.45,74.00 \scriptsize $\pm$ 0.23,77.65 \scriptsize $\pm$ 0.31,68.11 \scriptsize $\pm$ 0.38,74.34 \scriptsize $\pm$ 0.35,69.96 \scriptsize $\pm$ 0.49,71.45 \scriptsize $\pm$ 0.47,64.40 \scriptsize $\pm$ 0.36,73.89 \scriptsize $\pm$ 0.31,72.01 \scriptsize $\pm$ 0.60,66.21 \scriptsize $\pm$ 1.34,36.54 \scriptsize $\pm$ 0.72,77.71 \scriptsize $\pm$ 0.55,57.79 \scriptsize $\pm$ 1.31,38.75 \scriptsize $\pm$ 0.83,38.46 \scriptsize $\pm$ 0.96,36.46 \scriptsize $\pm$ 0.98,37.75 \scriptsize $\pm$ 0.73,48.04 \scriptsize $\pm$ 1.24,39.21 \scriptsize $\pm$ 2.05,38.17 \scriptsize $\pm$ 0.95,64.88 \scriptsize $\pm$ 0.89,38.62 \scriptsize $\pm$ 0.57,39.54 \scriptsize $\pm$ 0.44,49.12 \scriptsize $\pm$ 0.69,37.58 \scriptsize $\pm$ 0.50,46.50 \scriptsize $\pm$ 0.45,66.87 \scriptsize $\pm$ 0.48,68.22 \scriptsize $\pm$ 0.29,83.41 \scriptsize $\pm$ 0.23,58.63 \scriptsize $\pm$ 0.20,abla_most_family_joshi35,xnli,"[42, 66, 17, 23]","[58.35269173449348, 58.810672137628245, 58.742295820557274, 58.628974708090524]",0.004050016336142433,0.024984485823745118,0.005422154618366041
68.90 \scriptsize $\pm$ 0.44,75.58 \scriptsize $\pm$ 0.34,75.35 \scriptsize $\pm$ 0.49,74.14 \scriptsize $\pm$ 0.33,77.99 \scriptsize $\pm$ 0.56,67.76 \scriptsize $\pm$ 0.62,73.93 \scriptsize $\pm$ 0.37,69.73 \scriptsize $\pm$ 0.46,71.52 \scriptsize $\pm$ 0.51,63.57 \scriptsize $\pm$ 0.07,73.57 \scriptsize $\pm$ 0.55,71.51 \scriptsize $\pm$ 0.78,65.38 \scriptsize $\pm$ 0.72,38.25 \scriptsize $\pm$ 0.22,78.21 \scriptsize $\pm$ 0.76,59.04 \scriptsize $\pm$ 0.44,39.79 \scriptsize $\pm$ 0.34,39.12 \scriptsize $\pm$ 0.71,34.00 \scriptsize $\pm$ 0.83,39.25 \scriptsize $\pm$ 1.17,47.58 \scriptsize $\pm$ 1.24,39.29 \scriptsize $\pm$ 0.80,38.67 \scriptsize $\pm$ 0.47,65.08 \scriptsize $\pm$ 1.13,37.83 \scriptsize $\pm$ 0.49,39.04 \scriptsize $\pm$ 0.93,47.67 \scriptsize $\pm$ 0.78,45.88 \scriptsize $\pm$ 0.42,46.08 \scriptsize $\pm$ 0.57,65.82 \scriptsize $\pm$ 0.38,68.22 \scriptsize $\pm$ 0.25,83.43 \scriptsize $\pm$ 0.30,58.79 \scriptsize $\pm$ 0.20,abla_most_family_seen_mbert,xnli,"[42, 66, 17, 23]","[59.083265188791316, 58.74898301587173, 58.67974816118435, 58.635911488015935]",0.022895885938397212,0.042012379267925046,0.011918932645261393
68.99 \scriptsize $\pm$ 0.10,75.58 \scriptsize $\pm$ 0.27,75.02 \scriptsize $\pm$ 0.30,73.93 \scriptsize $\pm$ 0.43,77.50 \scriptsize $\pm$ 0.12,67.55 \scriptsize $\pm$ 0.40,73.92 \scriptsize $\pm$ 0.35,69.01 \scriptsize $\pm$ 0.41,70.95 \scriptsize $\pm$ 0.38,63.44 \scriptsize $\pm$ 0.36,73.30 \scriptsize $\pm$ 0.70,71.56 \scriptsize $\pm$ 0.54,65.54 \scriptsize $\pm$ 1.35,37.33 \scriptsize $\pm$ 0.79,77.21 \scriptsize $\pm$ 0.39,59.21 \scriptsize $\pm$ 0.85,37.67 \scriptsize $\pm$ 0.62,41.38 \scriptsize $\pm$ 0.98,35.33 \scriptsize $\pm$ 0.68,40.50 \scriptsize $\pm$ 1.22,56.00 \scriptsize $\pm$ 1.79,39.21 \scriptsize $\pm$ 0.44,38.17 \scriptsize $\pm$ 0.68,63.79 \scriptsize $\pm$ 0.83,37.46 \scriptsize $\pm$ 0.58,40.04 \scriptsize $\pm$ 0.55,53.79 \scriptsize $\pm$ 0.71,38.08 \scriptsize $\pm$ 0.70,51.75 \scriptsize $\pm$ 0.48,65.87 \scriptsize $\pm$ 0.22,67.85 \scriptsize $\pm$ 0.62,83.29 \scriptsize $\pm$ 0.29,59.07 \scriptsize $\pm$ 0.17,abla_most_family_seen_xlmr,xnli,"[42, 66, 17, 23]","[59.161828320570656, 58.98624032096664, 58.86988932657476, 59.258752936486275]",0.04101299379183041,0.2568791465547535,0.01302254583046727
69.49 \scriptsize $\pm$ 0.75,76.61 \scriptsize $\pm$ 0.27,75.07 \scriptsize $\pm$ 0.25,74.14 \scriptsize $\pm$ 0.30,77.45 \scriptsize $\pm$ 0.36,67.88 \scriptsize $\pm$ 0.57,74.43 \scriptsize $\pm$ 0.39,69.76 \scriptsize $\pm$ 0.58,71.66 \scriptsize $\pm$ 0.49,64.10 \scriptsize $\pm$ 0.53,73.72 \scriptsize $\pm$ 0.32,71.76 \scriptsize $\pm$ 0.40,66.96 \scriptsize $\pm$ 1.38,39.96 \scriptsize $\pm$ 1.37,77.67 \scriptsize $\pm$ 0.49,60.92 \scriptsize $\pm$ 1.66,39.83 \scriptsize $\pm$ 1.35,40.75 \scriptsize $\pm$ 1.09,33.67 \scriptsize $\pm$ 0.88,41.00 \scriptsize $\pm$ 1.15,54.83 \scriptsize $\pm$ 1.10,46.25 \scriptsize $\pm$ 1.44,40.88 \scriptsize $\pm$ 0.85,63.62 \scriptsize $\pm$ 0.58,43.25 \scriptsize $\pm$ 1.49,42.92 \scriptsize $\pm$ 0.97,48.96 \scriptsize $\pm$ 1.28,40.25 \scriptsize $\pm$ 1.44,47.38 \scriptsize $\pm$ 1.55,66.45 \scriptsize $\pm$ 0.48,67.49 \scriptsize $\pm$ 0.52,83.43 \scriptsize $\pm$ 0.20,59.77 \scriptsize $\pm$ 0.10,abla_most_family_unseen_mbert,xnli,"[42, 66, 17, 23]","[59.817968285948204, 59.71294985431282, 59.65735695164632, 59.87794049969766]",0.03313509513002138,0.25956043592138345,0.4686395364838276
69.82 \scriptsize $\pm$ 0.25,76.13 \scriptsize $\pm$ 0.40,74.74 \scriptsize $\pm$ 0.50,74.23 \scriptsize $\pm$ 0.39,77.50 \scriptsize $\pm$ 0.31,68.39 \scriptsize $\pm$ 0.47,73.81 \scriptsize $\pm$ 0.37,70.03 \scriptsize $\pm$ 0.86,71.76 \scriptsize $\pm$ 0.34,64.41 \scriptsize $\pm$ 0.56,73.65 \scriptsize $\pm$ 0.33,71.84 \scriptsize $\pm$ 0.41,66.88 \scriptsize $\pm$ 0.63,40.29 \scriptsize $\pm$ 1.31,78.04 \scriptsize $\pm$ 1.03,58.83 \scriptsize $\pm$ 1.08,38.75 \scriptsize $\pm$ 0.69,40.21 \scriptsize $\pm$ 1.40,34.92 \scriptsize $\pm$ 0.78,41.42 \scriptsize $\pm$ 1.19,46.46 \scriptsize $\pm$ 1.01,42.38 \scriptsize $\pm$ 1.21,40.00 \scriptsize $\pm$ 1.18,64.42 \scriptsize $\pm$ 1.39,40.42 \scriptsize $\pm$ 1.73,41.21 \scriptsize $\pm$ 0.96,50.46 \scriptsize $\pm$ 1.10,43.33 \scriptsize $\pm$ 2.88,47.67 \scriptsize $\pm$ 0.62,66.64 \scriptsize $\pm$ 0.12,67.28 \scriptsize $\pm$ 0.44,83.11 \scriptsize $\pm$ 0.17,59.34 \scriptsize $\pm$ 0.37,abla_most_family_unseen_xlmr,xnli,"[42, 66, 17, 23]","[59.773765638963354, 58.98806065817426, 59.09913793391768, 59.514038277332745]",0.7176555090630412,0.7912517934429204,0.12683079099240846
69.41 \scriptsize $\pm$ 0.51,75.85 \scriptsize $\pm$ 0.22,75.07 \scriptsize $\pm$ 0.49,74.10 \scriptsize $\pm$ 0.50,77.57 \scriptsize $\pm$ 0.38,67.34 \scriptsize $\pm$ 0.56,74.20 \scriptsize $\pm$ 0.29,69.55 \scriptsize $\pm$ 0.62,71.77 \scriptsize $\pm$ 0.28,63.81 \scriptsize $\pm$ 0.51,73.59 \scriptsize $\pm$ 0.32,71.74 \scriptsize $\pm$ 0.61,65.71 \scriptsize $\pm$ 0.44,37.83 \scriptsize $\pm$ 0.71,78.00 \scriptsize $\pm$ 0.56,57.83 \scriptsize $\pm$ 2.43,38.50 \scriptsize $\pm$ 0.59,39.38 \scriptsize $\pm$ 1.50,34.46 \scriptsize $\pm$ 0.58,42.58 \scriptsize $\pm$ 1.24,53.96 \scriptsize $\pm$ 0.74,39.58 \scriptsize $\pm$ 0.74,38.75 \scriptsize $\pm$ 1.54,64.54 \scriptsize $\pm$ 0.85,37.50 \scriptsize $\pm$ 1.04,41.00 \scriptsize $\pm$ 1.60,47.75 \scriptsize $\pm$ 1.25,46.29 \scriptsize $\pm$ 1.42,46.08 \scriptsize $\pm$ 1.10,66.21 \scriptsize $\pm$ 0.52,68.19 \scriptsize $\pm$ 0.37,83.22 \scriptsize $\pm$ 0.18,59.11 \scriptsize $\pm$ 0.23,abla_most_script_joshi2,xnli,"[42, 66, 17, 23]","[59.12664876346502, 59.41943492371824, 58.92913419140272, 58.945634200767365]",0.027696115469525884,0.0890748024003497,0.006113293317849421
69.25 \scriptsize $\pm$ 0.34,75.96 \scriptsize $\pm$ 0.50,75.12 \scriptsize $\pm$ 0.59,73.90 \scriptsize $\pm$ 0.52,77.43 \scriptsize $\pm$ 0.44,67.22 \scriptsize $\pm$ 0.69,73.96 \scriptsize $\pm$ 0.63,69.59 \scriptsize $\pm$ 0.71,71.23 \scriptsize $\pm$ 0.61,63.87 \scriptsize $\pm$ 0.64,73.54 \scriptsize $\pm$ 0.32,71.64 \scriptsize $\pm$ 0.31,65.83 \scriptsize $\pm$ 0.68,37.17 \scriptsize $\pm$ 0.45,78.46 \scriptsize $\pm$ 0.90,58.50 \scriptsize $\pm$ 1.18,38.04 \scriptsize $\pm$ 0.44,37.83 \scriptsize $\pm$ 0.59,35.67 \scriptsize $\pm$ 0.81,38.92 \scriptsize $\pm$ 0.42,47.75 \scriptsize $\pm$ 1.64,39.79 \scriptsize $\pm$ 0.66,38.96 \scriptsize $\pm$ 0.63,64.54 \scriptsize $\pm$ 0.37,38.33 \scriptsize $\pm$ 0.88,40.46 \scriptsize $\pm$ 0.84,47.71 \scriptsize $\pm$ 1.21,36.58 \scriptsize $\pm$ 1.03,46.88 \scriptsize $\pm$ 0.44,66.05 \scriptsize $\pm$ 0.30,67.69 \scriptsize $\pm$ 0.78,83.26 \scriptsize $\pm$ 0.47,58.47 \scriptsize $\pm$ 0.21,abla_most_script_joshi3,xnli,"[42, 66, 17, 23]","[58.23168358323567, 58.742192391356696, 58.50094281945493, 58.41313828442312]",0.0013745902607863513,0.010247262161241725,0.0023886632874521125
70.08 \scriptsize $\pm$ 0.56,76.28 \scriptsize $\pm$ 0.24,75.11 \scriptsize $\pm$ 0.26,74.48 \scriptsize $\pm$ 0.41,77.74 \scriptsize $\pm$ 0.29,68.05 \scriptsize $\pm$ 0.21,74.09 \scriptsize $\pm$ 0.31,70.06 \scriptsize $\pm$ 0.31,71.55 \scriptsize $\pm$ 0.35,64.68 \scriptsize $\pm$ 0.18,73.74 \scriptsize $\pm$ 0.28,72.17 \scriptsize $\pm$ 0.22,65.21 \scriptsize $\pm$ 0.71,35.46 \scriptsize $\pm$ 1.37,77.50 \scriptsize $\pm$ 0.88,58.21 \scriptsize $\pm$ 0.93,39.71 \scriptsize $\pm$ 0.96,38.29 \scriptsize $\pm$ 1.13,35.92 \scriptsize $\pm$ 0.97,37.88 \scriptsize $\pm$ 0.86,48.21 \scriptsize $\pm$ 0.76,40.67 \scriptsize $\pm$ 0.49,38.12 \scriptsize $\pm$ 1.02,65.29 \scriptsize $\pm$ 1.15,39.17 \scriptsize $\pm$ 1.01,39.54 \scriptsize $\pm$ 0.37,46.88 \scriptsize $\pm$ 0.98,37.75 \scriptsize $\pm$ 0.99,47.17 \scriptsize $\pm$ 0.89,66.36 \scriptsize $\pm$ 0.41,68.24 \scriptsize $\pm$ 0.68,83.44 \scriptsize $\pm$ 0.27,58.66 \scriptsize $\pm$ 0.22,abla_most_script_joshi35,xnli,"[42, 66, 17, 23]","[58.957455982806486, 58.51251359546324, 58.67830684141103, 58.480050539002406]",0.02235235548448229,0.03082702532476892,0.014428375721278605
